                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0694,                 1.1941,                 1.1462,                0.47462,                0.72817,                0.61836,                0.42067,                 1.1376,                   1.19,                 1.2366,              0.0033309,              0.0033309,              0.0033309
                      1,                 1.1391,                 1.2493,                 1.1772,                0.46201,                0.72025,                0.59582,                0.38504,                   1.22,                 1.2549,                 1.2811,              0.0065323,              0.0065323,              0.0065323
                      2,                 1.2742,                 1.3836,                  1.247,                0.46027,                  0.646,                0.55043,                0.31781,                 1.4137,                 1.4599,                    1.4,              0.0096016,              0.0096016,              0.0096016
                      3,                 1.4139,                 1.5491,                 1.3284,                0.45162,                0.64472,                0.55106,                0.32194,                 1.4361,                 1.4609,                 1.4143,               0.009406,               0.009406,               0.009406
                      4,                 1.4288,                 1.5728,                 1.3401,                0.42398,                 0.6376,                0.50991,                 0.2964,                 1.5102,                 1.5771,                 1.4691,               0.009406,               0.009406,               0.009406
                      5,                 1.4309,                 1.5732,                 1.3391,                0.45124,                0.62526,                0.54458,                0.31966,                 1.4428,                 1.4868,                 1.4121,               0.009208,               0.009208,               0.009208
                      6,                 1.4247,                 1.5658,                 1.3339,                0.46683,                0.64543,                0.55094,                0.32661,                 1.4227,                 1.4521,                 1.4067,                0.00901,                0.00901,                0.00901
                      7,                 1.4243,                 1.5678,                 1.3371,                0.46326,                0.63533,                0.55692,                0.33597,                 1.4138,                 1.4417,                 1.4088,               0.008812,               0.008812,               0.008812
                      8,                 1.4143,                  1.541,                 1.3269,                0.44143,                0.65066,                0.53949,                0.31841,                 1.4574,                 1.4827,                 1.4288,               0.008614,               0.008614,               0.008614
                      9,                  1.403,                 1.5335,                 1.3222,                0.45091,                0.66031,                0.56798,                0.34014,                 1.3856,                 1.4277,                 1.3916,               0.008416,               0.008416,               0.008416
                     10,                  1.385,                 1.5055,                 1.3126,                0.45881,                0.66744,                0.57144,                0.34683,                 1.3406,                 1.3675,                 1.3474,               0.008218,               0.008218,               0.008218
                     11,                  1.378,                 1.4977,                 1.3084,                0.45493,                0.69928,                0.58035,                0.35787,                 1.3384,                 1.3604,                 1.3516,                0.00802,                0.00802,                0.00802
                     12,                   1.36,                  1.484,                 1.2978,                0.48257,                 0.6545,                0.58069,                0.35381,                 1.3573,                 1.3667,                 1.3717,               0.007822,               0.007822,               0.007822
                     13,                 1.3613,                 1.4749,                 1.2935,                0.47088,                0.70136,                0.58802,                0.36694,                 1.3115,                  1.322,                 1.3329,               0.007624,               0.007624,               0.007624
                     14,                 1.3523,                 1.4631,                 1.2946,                0.48014,                0.68895,                0.60311,                0.37304,                 1.2868,                 1.3071,                 1.3254,               0.007426,               0.007426,               0.007426
                     15,                 1.3335,                 1.4514,                 1.2818,                0.46641,                  0.722,                0.59475,                0.36929,                 1.2923,                 1.2992,                 1.3219,               0.007228,               0.007228,               0.007228
                     16,                  1.327,                 1.4411,                 1.2776,                0.46626,                 0.7215,                0.59242,                0.38272,                 1.2685,                 1.2852,                 1.3042,                0.00703,                0.00703,                0.00703
                     17,                 1.3216,                 1.4286,                 1.2712,                0.47678,                0.69377,                0.59173,                0.38468,                 1.2483,                 1.2835,                 1.3004,               0.006832,               0.006832,               0.006832
                     18,                 1.3149,                 1.4124,                 1.2638,                0.46224,                0.73083,                0.60413,                0.38619,                 1.2452,                 1.2603,                 1.2861,               0.006634,               0.006634,               0.006634
                     19,                 1.3049,                 1.4122,                 1.2637,                0.47657,                 0.6948,                0.60028,                0.39261,                  1.231,                 1.2444,                 1.2888,               0.006436,               0.006436,               0.006436
                     20,                 1.2952,                 1.3978,                 1.2565,                0.47871,                0.71178,                0.61076,                0.39464,                 1.2166,                  1.228,                 1.2772,               0.006238,               0.006238,               0.006238
                     21,                 1.2885,                 1.3902,                 1.2495,                0.48226,                0.71338,                0.61482,                0.40315,                 1.2004,                 1.2231,                 1.2609,                0.00604,                0.00604,                0.00604
                     22,                 1.2744,                 1.3671,                 1.2417,                0.47734,                0.70965,                0.61587,                0.40077,                 1.1847,                 1.2149,                 1.2508,               0.005842,               0.005842,               0.005842
                     23,                 1.2651,                 1.3567,                 1.2384,                0.48036,                0.71616,                0.62223,                0.41051,                 1.1735,                 1.2064,                 1.2444,               0.005644,               0.005644,               0.005644
                     24,                  1.257,                  1.363,                 1.2315,                0.48137,                0.71963,                0.62046,                0.40612,                  1.173,                 1.2034,                 1.2424,               0.005446,               0.005446,               0.005446
                     25,                 1.2447,                 1.3402,                 1.2263,                0.47349,                0.71978,                0.62015,                0.40946,                 1.1607,                 1.1879,                 1.2374,               0.005248,               0.005248,               0.005248
                     26,                 1.2354,                 1.3292,                   1.22,                0.47984,                0.72338,                0.61992,                0.41199,                 1.1526,                  1.182,                 1.2363,                0.00505,                0.00505,                0.00505
                     27,                 1.2272,                 1.3179,                 1.2117,                0.47986,                0.72087,                0.62446,                0.41722,                 1.1477,                  1.178,                 1.2319,               0.004852,               0.004852,               0.004852
                     28,                 1.2168,                 1.3193,                 1.2129,                0.47795,                0.73867,                0.62474,                0.42055,                 1.1333,                 1.1711,                  1.224,               0.004654,               0.004654,               0.004654
                     29,                 1.2063,                 1.3012,                 1.2071,                0.47706,                0.74453,                 0.6261,                0.42594,                  1.122,                 1.1612,                 1.2183,               0.004456,               0.004456,               0.004456
                     30,                 1.1946,                 1.2903,                 1.1999,                 0.4785,                0.74199,                0.62362,                0.42649,                 1.1076,                 1.1566,                 1.2109,               0.004258,               0.004258,               0.004258
                     31,                 1.1841,                 1.2817,                 1.1938,                0.47427,                0.74913,                0.62602,                0.42605,                  1.099,                 1.1501,                 1.2061,                0.00406,                0.00406,                0.00406
                     32,                 1.1729,                 1.2738,                 1.1898,                0.48177,                0.73634,                0.62837,                0.42935,                 1.0875,                 1.1439,                 1.1984,               0.003862,               0.003862,               0.003862
                     33,                 1.1664,                 1.2652,                 1.1824,                0.47876,                0.74369,                 0.6291,                0.43038,                 1.0799,                  1.141,                 1.1942,               0.003664,               0.003664,               0.003664
                     34,                  1.149,                 1.2484,                 1.1775,                 0.4794,                0.73708,                0.63163,                0.43226,                 1.0762,                 1.1353,                 1.1914,               0.003466,               0.003466,               0.003466
                     35,                 1.1377,                 1.2387,                   1.17,                0.47954,                0.73866,                0.63118,                0.43364,                 1.0743,                 1.1312,                  1.189,               0.003268,               0.003268,               0.003268
                     36,                 1.1259,                 1.2278,                 1.1622,                0.47574,                0.74633,                0.63229,                0.43617,                 1.0712,                 1.1284,                 1.1875,                0.00307,                0.00307,                0.00307
                     37,                 1.1223,                 1.2239,                 1.1602,                0.47622,                0.74927,                 0.6325,                0.43737,                 1.0654,                 1.1262,                 1.1844,               0.002872,               0.002872,               0.002872
                     38,                 1.1126,                 1.2186,                 1.1589,                 0.4778,                0.74427,                0.63207,                0.43967,                 1.0583,                 1.1235,                  1.181,               0.002674,               0.002674,               0.002674
                     39,                 1.0982,                 1.2055,                 1.1479,                 0.4792,                0.74205,                0.63291,                 0.4414,                 1.0525,                 1.1207,                 1.1778,               0.002476,               0.002476,               0.002476
                     40,                 1.0204,                 1.0664,                 1.1542,                0.47852,                0.74833,                0.63426,                 0.4445,                 1.0444,                 1.1164,                 1.1736,               0.002278,               0.002278,               0.002278
                     41,                0.98588,                 1.0431,                 1.1366,                 0.4807,                0.74405,                0.63577,                 0.4456,                  1.035,                 1.1114,                 1.1685,                0.00208,                0.00208,                0.00208
                     42,                0.96285,                  1.027,                 1.1221,                0.48159,                0.73878,                0.63666,                0.44807,                 1.0258,                  1.106,                 1.1638,               0.001882,               0.001882,               0.001882
                     43,                0.94936,                 1.0137,                 1.1142,                0.47954,                 0.7447,                0.63681,                0.44948,                 1.0189,                  1.102,                   1.16,               0.001684,               0.001684,               0.001684
                     44,                0.92741,                 1.0002,                 1.1006,                0.48283,                0.74117,                0.63746,                0.45078,                  1.013,                 1.0989,                 1.1569,               0.001486,               0.001486,               0.001486
                     45,                 0.9098,                0.99107,                 1.0902,                0.48147,                0.74108,                0.63794,                0.45219,                 1.0076,                 1.0964,                 1.1543,               0.001288,               0.001288,               0.001288
                     46,                0.89657,                0.98204,                 1.0822,                0.48138,                0.74233,                0.64132,                0.45299,                 1.0028,                 1.0937,                 1.1517,                0.00109,                0.00109,                0.00109
                     47,                0.87994,                0.97273,                 1.0751,                0.48081,                0.74372,                 0.6413,                0.45432,                0.99855,                  1.092,                 1.1496,               0.000892,               0.000892,               0.000892
                     48,                0.87123,                0.96518,                  1.067,                0.48218,                0.74399,                0.64174,                0.45446,                0.99477,                   1.09,                 1.1477,               0.000694,               0.000694,               0.000694
                     49,                0.85128,                0.95523,                 1.0566,                0.47907,                0.74652,                0.64206,                0.45522,                0.99139,                 1.0888,                 1.1462,               0.000496,               0.000496,               0.000496
