                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0225,                 1.1438,                 1.1182,                 0.4806,                0.73392,                0.62995,                0.43176,                 1.0832,                 1.1413,                 1.1995,              0.0033309,              0.0033309,              0.0033309
                      1,                 1.0698,                 1.1767,                 1.1371,                0.47999,                 0.7152,                0.61545,                0.40644,                 1.1567,                 1.1812,                 1.2406,              0.0065543,              0.0065543,              0.0065543
                      2,                 1.1819,                 1.2786,                  1.193,                0.45562,                0.67556,                0.56437,                0.34309,                 1.3446,                 1.3516,                  1.363,              0.0096676,              0.0096676,              0.0096676
                      3,                 1.3194,                 1.4176,                 1.2667,                0.43512,                 0.6694,                0.55205,                0.33058,                  1.427,                 1.4635,                 1.4071,               0.009505,               0.009505,               0.009505
                      4,                  1.344,                 1.4569,                 1.2835,                0.45407,                0.67536,                0.57424,                0.34769,                 1.3673,                 1.3939,                 1.3729,               0.009505,               0.009505,               0.009505
                      5,                 1.3446,                 1.4577,                 1.2835,                0.42596,                0.58753,                0.51173,                0.30358,                 1.4711,                 1.5191,                 1.4477,                0.00934,                0.00934,                0.00934
                      6,                 1.3449,                   1.46,                 1.2855,                0.46961,                0.63971,                0.56579,                0.34749,                 1.3596,                 1.3854,                 1.3642,               0.009175,               0.009175,               0.009175
                      7,                 1.3465,                 1.4598,                 1.2856,                0.45762,                0.68797,                0.57694,                0.35956,                 1.3224,                 1.3336,                 1.3547,                0.00901,                0.00901,                0.00901
                      8,                  1.338,                 1.4402,                 1.2786,                0.45436,                0.67556,                0.58438,                0.35776,                  1.343,                 1.3473,                 1.3597,               0.008845,               0.008845,               0.008845
                      9,                 1.3276,                 1.4417,                 1.2733,                0.46234,                0.68938,                0.59789,                0.36987,                 1.2852,                 1.3126,                 1.3271,                0.00868,                0.00868,                0.00868
                     10,                 1.3146,                 1.4183,                 1.2682,                0.46266,                0.69895,                0.59099,                0.37202,                 1.2775,                 1.2941,                 1.3133,               0.008515,               0.008515,               0.008515
                     11,                 1.3091,                 1.4175,                 1.2663,                 0.4521,                0.72677,                  0.602,                0.38069,                  1.287,                 1.2906,                 1.3196,                0.00835,                0.00835,                0.00835
                     12,                 1.3015,                 1.4048,                 1.2604,                0.46489,                0.68844,                0.59548,                0.36901,                 1.2723,                 1.2776,                 1.3138,               0.008185,               0.008185,               0.008185
                     13,                 1.2963,                 1.4019,                 1.2534,                0.48313,                0.68623,                0.60201,                0.37575,                 1.2577,                 1.2621,                 1.2979,                0.00802,                0.00802,                0.00802
