                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93713,                 1.0755,                 1.0715,                0.47598,                0.76178,                 0.6404,                0.45117,                 1.0182,                 1.0958,                  1.164,              0.0033309,              0.0033309,              0.0033309
                      1,                 1.0013,                 1.1221,                 1.0974,                0.47364,                0.74318,                0.62141,                0.41908,                  1.106,                 1.1611,                 1.2137,              0.0065323,              0.0065323,              0.0065323
                      2,                 1.1322,                 1.2248,                 1.1623,                0.46306,                0.64249,                0.54945,                0.34007,                 1.3776,                  1.413,                 1.3767,              0.0096016,              0.0096016,              0.0096016
                      3,                  1.277,                 1.3759,                  1.238,                0.44942,                0.69075,                 0.5708,                0.35668,                  1.324,                 1.3569,                 1.3349,               0.009406,               0.009406,               0.009406
                      4,                 1.3055,                 1.4103,                 1.2547,                 0.4539,                 0.6857,                0.57602,                0.34682,                 1.3108,                 1.3541,                 1.3372,               0.009406,               0.009406,               0.009406
                      5,                 1.3041,                 1.4169,                 1.2563,                0.44677,                0.70348,                 0.5789,                 0.3711,                 1.3013,                 1.3141,                  1.327,               0.009208,               0.009208,               0.009208
                      6,                 1.3091,                 1.4121,                 1.2602,                0.45717,                0.65284,                0.56123,                0.34592,                 1.3456,                 1.3568,                 1.3638,                0.00901,                0.00901,                0.00901
                      7,                 1.3077,                 1.4131,                  1.261,                0.45428,                0.66902,                0.56423,                  0.351,                 1.3606,                 1.3585,                 1.3776,               0.008812,               0.008812,               0.008812
                      8,                 1.2945,                 1.3934,                 1.2484,                0.45164,                0.69274,                0.58368,                0.35548,                 1.3408,                 1.3278,                 1.3443,               0.008614,               0.008614,               0.008614
                      9,                  1.288,                  1.392,                 1.2445,                0.46565,                0.70227,                0.60143,                0.37551,                 1.2826,                 1.2831,                 1.3181,               0.008416,               0.008416,               0.008416
                     10,                 1.2723,                 1.3668,                  1.241,                 0.4679,                0.67397,                 0.5952,                0.37279,                 1.2559,                 1.2593,                 1.3013,               0.008218,               0.008218,               0.008218
                     11,                 1.2625,                 1.3641,                 1.2341,                0.46461,                0.72117,                0.61884,                0.39136,                 1.2507,                 1.2507,                 1.3033,                0.00802,                0.00802,                0.00802
                     12,                 1.2543,                 1.3521,                 1.2276,                0.47199,                0.68588,                0.60542,                0.38521,                 1.2303,                 1.2353,                 1.2869,               0.007822,               0.007822,               0.007822
