                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92195,                 1.0642,                 1.0617,                0.47697,                0.74515,                0.63928,                0.45732,                0.99227,                 1.0922,                 1.1489,              0.0033309,              0.0033309,              0.0033309
                      1,                0.97969,                  1.104,                 1.0854,                  0.487,                0.71642,                0.62607,                0.42719,                 1.0798,                 1.1428,                 1.1993,              0.0065982,              0.0065982,              0.0065982
                      2,                 1.1109,                 1.2104,                  1.149,                0.45143,                0.71662,                0.57406,                0.36157,                 1.2659,                  1.304,                 1.3087,              0.0097996,              0.0097996,              0.0097996
                      3,                 1.2673,                 1.3685,                 1.2308,                0.44431,                0.67764,                 0.5652,                0.34956,                 1.3513,                 1.3698,                  1.354,               0.009703,               0.009703,               0.009703
                      4,                 1.2938,                 1.3989,                 1.2485,                 0.4445,                0.72063,                0.58026,                0.35039,                 1.3426,                 1.3337,                 1.3551,               0.009703,               0.009703,               0.009703
                      5,                 1.3002,                 1.4092,                 1.2528,                0.45594,                0.62712,                0.55058,                0.33452,                 1.3842,                 1.4365,                 1.3782,               0.009604,               0.009604,               0.009604
                      6,                 1.3015,                 1.4091,                 1.2555,                0.47571,                 0.6251,                0.56275,                0.34366,                  1.354,                 1.3642,                 1.3612,               0.009505,               0.009505,               0.009505
                      7,                 1.3061,                 1.4122,                 1.2575,                0.44604,                0.69288,                0.58288,                0.36705,                 1.2886,                 1.3053,                 1.3232,               0.009406,               0.009406,               0.009406
                      8,                 1.2994,                 1.4047,                 1.2501,                 0.4585,                0.69812,                0.60202,                0.37388,                 1.2966,                 1.2961,                 1.3255,               0.009307,               0.009307,               0.009307
                      9,                 1.2942,                 1.4033,                 1.2468,                0.46222,                0.66448,                0.57969,                0.35554,                 1.3574,                 1.3399,                 1.3641,               0.009208,               0.009208,               0.009208
                     10,                 1.2887,                 1.3798,                 1.2474,                0.46394,                0.71695,                 0.6039,                0.38203,                 1.2594,                 1.2564,                 1.3006,               0.009109,               0.009109,               0.009109
                     11,                 1.2773,                 1.3795,                 1.2423,                0.44611,                0.71042,                0.58696,                0.37113,                  1.297,                 1.3104,                 1.3353,                0.00901,                0.00901,                0.00901
                     12,                 1.2699,                 1.3706,                 1.2359,                0.46032,                0.70922,                0.60311,                0.37404,                 1.2387,                 1.2399,                 1.2871,               0.008911,               0.008911,               0.008911
                     13,                 1.2698,                 1.3684,                 1.2348,                0.46969,                0.70435,                0.59795,                0.38665,                 1.2184,                 1.2223,                 1.2779,               0.008812,               0.008812,               0.008812
                     14,                 1.2687,                 1.3578,                 1.2353,                0.48142,                0.68036,                0.60801,                 0.3878,                 1.2294,                 1.2294,                 1.2797,               0.008713,               0.008713,               0.008713
                     15,                  1.257,                 1.3579,                 1.2302,                0.48038,                0.69159,                0.61668,                0.39705,                 1.2071,                 1.2192,                 1.2671,               0.008614,               0.008614,               0.008614
                     16,                 1.2569,                 1.3568,                 1.2287,                0.47308,                0.70943,                0.61759,                0.40347,                 1.1924,                 1.2059,                 1.2577,               0.008515,               0.008515,               0.008515
                     17,                 1.2538,                 1.3461,                 1.2267,                0.47982,                0.70932,                0.61751,                0.40491,                 1.1876,                 1.2014,                 1.2537,               0.008416,               0.008416,               0.008416
                     18,                   1.25,                 1.3367,                 1.2198,                0.47204,                 0.7251,                0.62236,                 0.4105,                 1.1718,                 1.1873,                  1.245,               0.008317,               0.008317,               0.008317
                     19,                  1.245,                 1.3434,                 1.2219,                0.47058,                0.73635,                0.62643,                0.41011,                 1.1582,                  1.173,                  1.241,               0.008218,               0.008218,               0.008218
                     20,                 1.2369,                 1.3282,                 1.2156,                0.47169,                0.72667,                0.62066,                0.41377,                 1.1553,                 1.1713,                 1.2405,               0.008119,               0.008119,               0.008119
                     21,                 1.2373,                  1.335,                 1.2126,                0.48305,                0.68468,                0.62339,                0.41599,                 1.1375,                 1.1634,                 1.2243,                0.00802,                0.00802,                0.00802
                     22,                 1.2271,                 1.3202,                 1.2096,                0.47772,                0.71234,                0.63288,                0.42011,                  1.123,                 1.1579,                 1.2208,               0.007921,               0.007921,               0.007921
                     23,                 1.2266,                  1.309,                 1.2093,                0.47888,                0.71993,                0.63033,                0.42206,                 1.1228,                 1.1504,                 1.2189,               0.007822,               0.007822,               0.007822
                     24,                 1.2223,                 1.3223,                 1.2077,                0.46174,                0.75587,                0.62442,                0.42346,                 1.1137,                 1.1432,                 1.2135,               0.007723,               0.007723,               0.007723
